"student_id","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37","I38","I39","I40","I41","I42","I43","I44","I45","I46","I47","I48","I49","I50","I51"
56,2,4,4,2,3,1,4,4,3,5,3,3,3,2,5,4,3,2,1,2,3,2,2,2,1,3,3,4,2,1,1,1,1,2,1,3,2,1,1,2,2,2,1,1,1,2,1,3,1,2,1
57,2,4,3,3,4,2,4,3,2,4,4,2,4,2,2,2,2,2,2,4,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3
58,4,3,2,4,3,3,4,5,3,3,1,2,1,1,3,1,1,1,3,3,3,1,3,2,4,2,1,1,1,2,3,2,1,3,1,2,3,4,3,3,1,1,2,1,4,2,1,4,1,1,4
59,1,1,2,1,1,1,2,4,1,3,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,5,1,1,3,1,1,4,5,5,3,3,4,4,2,1
60,4,3,4,5,5,4,5,5,4,5,5,3,5,3,5,3,3,5,5,5,5,5,4,3,3,2,2,2,2,2,2,1,2,1,4,1,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1
61,5,5,5,5,5,5,5,5,3,4,3,4,4,3,5,5,3,4,4,4,3,4,4,2,5,5,5,5,5,4,4,4,3,4,3,2,4,3,4,5,2,4,4,4,5,4,4,4,5,3,4
62,3,2,4,2,1,1,2,4,1,4,2,3,3,1,4,5,2,1,5,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,3,2,3,3,3,2,2,3,2,1,1,2,3,2,2,3,1,1,3,3,2,2,3,2,3,3,2,3,3,1,3,1,2,4,2,4,2,1,2,2,1,1,1,1,3,1,1,2,1,2,1
64,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,1,1,1,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2
65,2,3,2,3,3,3,4,2,1,2,2,2,3,2,3,2,3,3,3,2,2,2,1,3,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3,1,2,1,3,2,2,2,3,2,2,1
66,4,2,5,4,3,2,5,5,3,5,5,4,4,3,5,5,3,1,5,3,5,4,4,3,2,3,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1
67,2,1,1,2,3,1,2,1,3,2,1,1,3,2,1,2,1,2,3,2,1,3,3,1,1,4,1,4,1,2,1,1,1,1,1,4,4,1,1,2,1,1,4,5,1,5,1,1,5,3,1
68,3,3,2,3,3,3,2,4,1,4,3,1,4,2,4,1,2,1,1,3,1,4,1,2,2,3,3,4,3,3,2,3,3,3,3,2,4,2,2,3,2,2,2,3,3,3,2,2,3,3,2
69,2,2,5,4,2,4,2,2,4,3,3,5,1,4,5,3,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,4,2,2,3,3,2,3,4,2,4,2,2,3,3,4,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2,3,2,3,3,3,4,2,2,3,2,3,3,3,4,3,3,3,2,2,2
71,3,2,3,1,2,1,2,3,1,3,2,2,2,1,2,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,3,1,2,1,1,3
73,5,3,2,4,4,3,4,5,2,5,4,2,4,3,5,2,1,3,1,3,3,4,1,3,4,5,3,5,3,NA,2,1,3,3,5,4,5,4,3,5,2,3,3,2,4,5,2,3,3,4,4
74,3,1,1,3,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,3,2,3,1,3,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1
75,2,2,1,2,2,2,2,1,2,3,2,3,3,1,1,1,3,1,1,2,3,4,2,1,3,2,2,3,2,1,1,1,2,2,2,2,3,2,4,2,2,3,2,3,2,2,2,3,4,2,2
76,3,3,1,3,3,3,4,4,1,4,4,4,4,3,4,1,2,3,1,4,3,4,2,1,4,1,1,1,1,1,2,1,NA,3,1,NA,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2
77,1,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,4,4,2,5,5,1,2,4,1,5,1,1,2,3,5,2,2,1,1,3,4,5,1,4,2,2,1,3,3,4,1,3,1,1,1,3,1,1,5,1,1,1,5,5,3,3,3,4,3,2,2
79,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,4,4,5,3,1,2,2,4,1,4,3,2,5,2,5,4,1,1,4,3,5,3,4,3,5,4,1,3,2,4,4,5,2,5,1,4,3,NA,5,3,3,3,5,4,5,5,1,4,3,1,4
81,4,2,1,3,3,3,3,4,2,4,3,3,3,3,4,1,2,2,1,3,2,3,1,4,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
82,3,3,2,2,3,2,4,3,2,3,3,2,2,1,3,1,1,1,1,3,1,2,1,2,4,3,2,2,2,1,2,1,2,4,2,3,2,3,4,2,1,2,4,2,4,2,2,4,2,2,2
83,5,4,3,3,3,4,4,5,5,5,5,5,5,4,5,4,4,4,4,4,5,5,4,3,5,5,5,NA,3,1,5,1,3,4,4,3,3,1,2,4,2,2,1,2,4,1,1,3,3,3,3
84,1,1,2,2,2,1,3,3,1,2,1,1,2,2,2,2,3,2,2,3,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
85,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,4,2,5,3,3,2,3,4,2,2,1,4,3,1,3,5,2,3,3,2,2,3,3,2,2,1,2,2,1,1,1,1,2,3,2,3,3,3,2,3,1,1,1,4,2,2,2,3,3,1,3
87,5,4,3,3,4,3,3,5,5,3,4,3,4,4,4,3,4,3,3,2,2,4,3,3,4,2,2,2,2,3,2,2,2,1,2,3,3,1,1,2,1,1,1,1,1,2,1,1,2,1,2
88,4,2,2,3,3,2,4,4,1,4,3,3,3,2,3,1,1,2,2,3,1,2,2,2,3,1,1,2,1,1,3,1,1,2,1,2,2,3,3,2,1,1,1,3,2,2,1,3,1,1,3
90,3,1,1,1,1,1,1,4,1,4,1,1,4,1,4,1,1,4,1,1,4,4,1,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,1,4
91,5,3,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,5,2,1,1,1,1,3,1,1,3,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1
92,2,2,2,2,2,3,3,3,1,2,3,2,2,2,2,2,1,1,2,1,1,1,1,3,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1
93,3,4,2,4,3,2,3,4,2,4,4,4,5,3,4,2,1,2,1,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,3,2,2,1,2,1,1,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,2,3,2,3,3,1,2,2,2,2,2,3,1,3,3,3,2,1,4,3,3,3,3,4,2,1
95,3,3,2,2,2,2,2,4,2,3,2,3,2,2,4,1,2,1,2,2,2,1,2,2,3,1,1,2,2,1,3,1,2,2,1,3,2,2,2,3,2,1,1,1,1,2,2,2,2,2,2
96,3,3,3,4,3,2,3,5,3,5,4,5,5,3,5,4,2,4,3,3,4,5,4,2,5,2,2,3,2,1,5,1,1,4,1,3,2,4,3,2,1,1,3,2,2,3,3,3,2,2,4
97,2,2,1,2,2,1,2,3,1,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
98,3,3,3,3,3,3,3,4,2,4,4,4,4,3,4,2,4,2,3,2,3,4,3,2,4,2,2,2,2,1,3,1,1,4,1,3,2,1,5,3,1,1,1,2,1,1,1,5,1,1,1
99,3,4,2,4,3,4,5,3,2,3,3,3,2,1,2,3,4,4,4,4,3,3,4,1,4,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3
100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
101,5,4,4,4,4,4,4,5,3,3,3,2,3,3,4,4,1,2,3,4,5,4,3,5,3,2,2,2,2,3,2,5,2,2,2,NA,1,2,2,2,2,2,3,3,3,2,4,NA,3,2,3
102,3,3,4,3,2,3,3,4,2,4,2,3,5,1,4,4,2,4,5,2,2,4,5,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
103,3,2,4,1,1,1,3,2,1,2,2,1,4,2,2,2,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
105,5,3,2,4,4,4,3,5,2,5,3,2,4,3,5,3,2,4,4,3,3,4,3,3,4,2,2,3,2,1,2,5,2,3,1,3,4,1,3,3,3,3,3,3,2,2,2,2,3,3,2
106,3,2,1,2,2,1,3,4,1,4,2,2,1,1,2,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,3,2,2,4,3,2,3,4,1,4,2,1,4,1,3,4,2,3,2,3,2,1,3,1,4,2,1,2,1,2,1,2,1,2,3,3,4,1,3,3,2,1,2,4,4,3,1,3,2,1,2
108,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,1,1,1,1,2,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,3,1,1,3,2,2,2,3,2,3,1,2,3,2,3,2,2,2,2,2,3,4,1,3,3,3,3,4,2,3,4,2,3,NA,2,3,4,5,5,4,1,1,3,2,3,2,3,3,3,1,5
110,4,3,4,4,2,3,2,3,1,3,2,2,4,2,3,2,2,4,3,4,3,3,2,3,2,2,2,2,1,3,2,3,3,2,1,3,1,2,2,2,1,1,2,2,2,2,2,2,4,2,2
111,2,1,2,2,1,1,2,3,1,3,1,1,2,1,3,2,1,2,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
112,2,2,2,3,3,2,3,2,3,2,2,2,3,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,3,1,1,3,1,1,1
113,3,3,2,2,3,2,4,4,2,3,2,1,3,2,3,2,2,3,3,2,4,2,3,2,5,3,2,3,2,2,5,1,2,5,4,3,4,4,4,4,1,1,3,1,3,2,1,5,1,2,5
114,3,3,1,2,3,4,4,4,5,4,3,3,4,2,3,2,4,3,3,4,2,4,3,3,4,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1
115,2,1,1,1,2,1,2,4,2,4,2,2,3,2,4,1,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1
116,2,1,1,1,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1
117,4,3,1,3,3,2,2,3,2,3,3,2,3,2,3,1,2,2,1,2,2,3,1,3,4,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
118,2,1,4,3,2,1,3,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,3,2,3,2,2,2,2,1,1,2,4,4,1,5,1,1,2,1,1,3,1,4,1,1,1,1,1,1
119,4,3,1,2,3,4,4,4,4,4,3,3,4,3,4,1,4,2,2,3,3,4,1,4,4,2,2,2,1,1,2,1,3,1,1,2,2,2,1,2,1,1,1,2,1,1,1,3,2,3,2
120,3,2,1,2,1,1,1,4,1,4,1,1,3,1,4,1,1,1,1,1,1,2,1,2,4,1,1,2,1,1,2,1,1,2,1,3,3,2,2,2,1,1,4,4,2,3,2,4,1,1,1
121,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,3,1,5,3,5,5,1,3,1,5,1,3,5,3
122,3,2,1,1,2,3,3,4,4,5,3,3,5,2,3,1,3,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,3
123,3,2,2,2,5,3,4,5,1,3,3,2,4,3,3,1,3,1,2,4,1,2,2,5,4,1,1,2,1,1,3,1,1,1,3,4,2,1,3,4,NA,2,5,3,5,3,1,5,2,1,4
124,1,1,5,1,2,1,3,3,1,2,2,2,1,1,2,4,1,1,3,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,2,1,1,5,1,1,1,1
125,4,4,3,4,4,2,4,5,1,5,3,4,4,2,4,3,2,4,2,3,4,4,2,2,5,3,2,3,2,1,4,1,2,4,3,4,3,3,4,3,1,2,2,1,4,1,1,4,3,3,3
126,5,3,1,5,4,4,3,5,2,5,3,3,4,3,5,1,2,4,4,3,5,5,3,3,5,2,1,1,1,1,2,1,1,4,1,1,3,3,2,2,1,1,3,2,4,2,1,3,2,1,2
127,4,1,2,2,2,1,4,5,1,5,2,1,2,2,5,4,1,3,2,2,2,4,3,2,2,1,1,1,1,1,2,1,1,1,1,1,3,5,1,1,1,1,2,3,1,2,1,1,1,1,3
128,2,1,2,2,3,2,4,4,1,4,1,1,4,2,4,2,1,1,1,2,3,5,1,1,4,1,1,1,1,1,3,1,1,3,1,3,1,3,4,1,1,1,2,1,1,1,1,3,1,1,3
129,3,2,3,3,2,2,2,2,2,2,2,3,3,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1
130,1,2,1,1,1,1,2,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
131,5,2,2,3,3,3,4,5,3,5,4,3,4,2,5,1,3,4,2,4,5,5,2,5,5,3,2,2,1,2,5,1,2,4,1,4,5,5,5,5,1,1,4,5,5,1,2,4,2,1,3
132,5,3,2,3,5,5,5,5,3,5,2,4,5,3,5,1,1,4,1,4,4,4,4,5,4,1,1,2,1,1,3,1,2,4,1,4,5,3,2,1,1,1,4,3,2,1,1,3,2,1,2
133,4,2,2,4,4,2,4,4,1,4,1,1,4,1,4,1,1,4,2,2,1,5,1,2,2,1,1,2,2,1,3,1,2,4,3,4,2,1,4,2,1,1,4,2,2,4,2,4,2,2,2
134,4,3,1,3,2,4,4,5,2,5,2,5,5,1,5,1,3,5,2,3,2,5,2,1,5,1,1,1,1,1,5,1,1,4,1,3,2,4,1,1,1,1,1,1,1,1,1,4,1,1,5
135,1,2,4,2,2,2,3,4,3,3,1,2,5,2,2,5,3,3,4,3,2,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2
136,2,2,3,4,2,2,3,3,3,3,1,3,4,1,3,3,2,3,3,2,2,2,3,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2
137,5,4,3,5,4,4,4,5,4,5,4,5,5,4,5,3,3,5,5,4,5,5,3,4,5,3,3,3,2,1,5,1,3,3,2,2,3,3,3,2,2,2,2,1,2,2,1,4,3,2,3
138,5,3,3,5,3,3,2,5,1,5,3,3,3,3,5,4,3,4,4,3,3,5,3,3,5,3,3,2,2,3,3,2,2,4,1,4,3,4,3,5,3,2,4,4,3,3,3,3,3,3,5
140,4,1,2,3,2,1,2,4,2,4,2,3,3,2,3,2,1,1,1,1,1,3,1,2,2,2,2,2,2,2,1,1,1,2,2,4,2,2,3,2,3,2,1,3,3,1,1,3,3,2,2
141,1,1,3,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
142,4,2,3,4,3,1,4,3,3,4,2,NA,3,4,4,3,2,3,2,3,3,4,2,3,3,4,3,2,2,1,2,1,2,3,2,2,NA,1,2,4,4,4,2,2,4,2,1,4,4,3,2
143,4,3,4,3,2,2,4,5,1,4,5,4,4,2,4,4,3,4,4,2,1,4,4,1,3,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,1,4,2,1,1,3,1,1
144,4,4,2,2,3,2,3,5,2,4,3,3,4,1,4,1,1,2,1,3,2,2,1,2,4,3,1,1,1,1,1,1,3,1,1,4,2,1,1,4,1,2,1,1,4,3,1,2,1,1,1
145,4,1,3,3,4,2,4,4,2,1,4,3,4,1,5,3,1,1,1,4,3,1,1,3,4,NA,2,3,2,1,4,1,3,5,2,3,3,1,5,2,1,2,1,2,3,1,3,3,2,3,1
146,4,1,1,2,1,1,1,4,1,4,1,1,3,2,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,4,1,1,1,2,1,1,1
147,4,2,3,2,1,2,2,4,2,3,2,1,2,1,4,3,2,1,1,1,1,3,3,2,5,4,3,2,1,1,1,1,4,4,2,2,4,3,5,1,1,3,1,1,3,3,2,4,3,2,3
